Time;Pleth;II
hh:mm:ss.000';mv';mV'
'20:56:24.362';-204;-3.41
'20:56:24.362';-181;-2.1
'20:56:24.396';-163;-0.28
'20:56:24.429';-148;0.46
'20:56:24.429';-136;1.76
'20:56:24.464';-124;2.71
'20:56:24.464';-112;3.35
'20:56:24.511';-99;4.28
'20:56:24.511';-90;4.99
'20:56:24.545';-85;5.48
'20:56:24.545';-86;6.06
'20:56:24.595';-88;6.05
'20:56:24.595';-89;6.22
'20:56:24.629';-89;6.52
'20:56:24.629';-87;7.59
'20:56:24.662';-83;8.95
'20:56:24.662';-78;8.45
'20:56:24.711';-71;6.92
'20:56:24.711';-67;4.7
'20:56:24.746';-63;3.13
'20:56:24.746';-60;2.43
'20:56:24.780';-58;2.02
'20:56:24.780';-56;-0.69
'20:56:24.828';-55;-11.36
'20:56:24.828';-56;74.22
'20:56:24.876';-57;86.64
'20:56:24.876';-57;36.43
'20:56:24.876';-59;-16.69
'20:56:24.910';-62;-33.3
'20:56:24.960';-62;-32.37
'20:56:24.960';-62;-29.07
'20:56:24.960';-62;-22.48
'20:56:25.011';-63;-12.29
'20:56:25.011';-66;0.02
'20:56:25.046';-83;7.78
'20:56:25.046';-138;8.5
'20:56:25.095';-206;2.74
'20:56:25.095';-249;-5.52
'20:56:25.129';-266;-10.91
'20:56:25.129';-263;-12.01
'20:56:25.162';-249;-11.23
'20:56:25.162';-228;-9.88
'20:56:25.196';-206;-7.43
'20:56:25.196';-185;-5.13
'20:56:25.245';-168;-2.86
'20:56:25.245';-154;-0.29
'20:56:25.278';-141;2.14
'20:56:25.278';-130;4.4
'20:56:25.312';-117;6.15
'20:56:25.345';-103;7.17
'20:56:25.345';-94;4.91
'20:56:25.392';-89;2.14
'20:56:25.392';-91;-1
'20:56:25.426';-94;-3.88
'20:56:25.426';-96;-3.11
'20:56:25.460';-97;-0.77
'20:56:25.460';-94;-1.21
'20:56:25.493';-89;-3.45
'20:56:25.528';-83;-3.64
'20:56:25.528';-78;-2.94
'20:56:25.576';-71;-2.21
'20:56:25.576';-64;-1.18
'20:56:25.576';-56;-0.36
'20:56:25.611';-52;-7.11
'20:56:25.658';-47;34.35
'20:56:25.658';-43;99.03
'20:56:25.658';-41;51.52
'20:56:25.710';-40;7.77
'20:56:25.710';-42;-7.98
'20:56:25.760';-43;-5.87
'20:56:25.760';-44;-1.63
'20:56:25.760';-47;4.37
'20:56:25.794';-49;13.5
'20:56:25.794';-51;24.98
'20:56:25.844';-63;30.7
'20:56:25.844';-108;28.68
'20:56:25.879';-174;23.68
'20:56:25.879';-222;13.72
'20:56:25.913';-244;2.56
'20:56:25.913';-247;-2.85
'20:56:25.961';-237;-4.01
'20:56:25.961';-219;-4
'20:56:25.996';-195;-3.15
'20:56:25.996';-171;-2.3
'20:56:26.030';-150;-1.7
'20:56:26.063';-132;-1.29
'20:56:26.063';-115;-1.22
'20:56:26.111';-101;-1.18
'20:56:26.111';-86;-0.67
'20:56:26.146';-73;0.14
'20:56:26.146';-64;0.52
'20:56:26.179';-61;0.42
'20:56:26.179';-63;0.35
'20:56:26.228';-68;0.29
'20:56:26.228';-75;0.25
'20:56:26.262';-79;0.35
'20:56:26.262';-79;1.11
'20:56:26.311';-75;2.06
'20:56:26.311';-73;1.64
'20:56:26.345';-68;0.53
'20:56:26.345';-62;-0.07
'20:56:26.395';-57;-0.51
'20:56:26.395';-54;-0.83
'20:56:26.429';-52;-0.86
'20:56:26.429';-50;-3.23
'20:56:26.462';-50;-8.62
'20:56:26.462';-51;63.65
'20:56:26.511';-52;71.92
'20:56:26.511';-53;30.31
'20:56:26.547';-54;-17.11
'20:56:26.547';-57;-29.73
'20:56:26.584';-58;-28.56
'20:56:26.584';-57;-25.21
'20:56:26.629';-57;-19.43
'20:56:26.629';-59;-10.14
'20:56:26.662';-64;0.54
'20:56:26.662';-88;7.06
'20:56:26.695';-155;7.03
'20:56:26.745';-217;1.97
'20:56:26.745';-252;-5.91
'20:56:26.745';-263;-9.3
'20:56:26.795';-258;-9.63
'20:56:26.795';-241;-8.75
'20:56:26.795';-219;-7.04
'20:56:26.845';-194;-5.11
'20:56:26.845';-171;-3.38
'20:56:26.879';-153;-1.56
'20:56:26.879';-135;-0.34
'20:56:26.928';-123;0.4
'20:56:26.928';-111;1.13
'20:56:26.976';-99;2.93
'20:56:26.976';-87;4.48
'20:56:26.976';-81;5.91
'20:56:27.010';-80;6.57
'20:56:27.010';-81;6.69
'20:56:27.046';-83;6.76
'20:56:27.084';-85;7.92
'20:56:27.084';-87;9.81
'20:56:27.132';-87;10.75
'20:56:27.132';-85;8.57
'20:56:27.132';-80;7.72
'20:56:27.178';-76;7.21
'20:56:27.178';-73;6.9
'20:56:27.212';-67;6.7
'20:56:27.245';-63;6.37
'20:56:27.245';-60;0.52
'20:56:27.294';-58;28.6
'20:56:27.294';-55;89.29
'20:56:27.294';-55;43.68
'20:56:27.329';-54;-1.66
'20:56:27.377';-55;-29.77
'20:56:27.377';-55;-30.74
'20:56:27.377';-57;-29.45
'20:56:27.412';-58;-25.17
'20:56:27.412';-60;-17.53
'20:56:27.461';-61;-10.67
'20:56:27.461';-69;-4.78
'20:56:27.495';-107;-0.63
'20:56:27.495';-176;-1.3
'20:56:27.529';-231;-4.75
'20:56:27.563';-258;-6.92
'20:56:27.563';-263;-7.72
'20:56:27.611';-253;-7.81
'20:56:27.611';-233;-6.87
'20:56:27.646';-208;-5.38
'20:56:27.646';-183;-2.69
'20:56:27.695';-161;0.06
'20:56:27.695';-143;1.98
'20:56:27.695';-129;3.82
'20:56:27.729';-118;5.3
'20:56:27.762';-106;6.88
'20:56:27.762';-93;8.24
'20:56:27.797';-83;9.43
'20:56:27.797';-78;10.21
'20:56:27.844';-78;9.88
'20:56:27.844';-84;9.43
'20:56:27.879';-89;9.34
'20:56:27.879';-91;10.58
'20:56:27.912';-92;11.63
'20:56:27.912';-91;10.45
'20:56:27.946';-87;8.7
'20:56:27.979';-80;7.25
